unitid,"cipcode",awlevel,"xcrace01",crace01,"xcrace02",crace02,"xcrace03",crace03,"xcrace04",crace04,"xcrace05",crace05,"xcrace06",crace06,"xcrace07",crace07,"xcrace08",crace08,"xcrace09",crace09,"xcrace10",crace10,"xcrace11",crace11,"xcrace12",crace12,"xcrace13",crace13,"xcrace14",crace14,"xcrace15",crace15,"xcrace16",crace16
100636,"09.0501",3,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",9,"Z",0,"R",1,"R",14,"R",12
100636,"10.0199",3,"Z",0,"Z",0,"R",19,"R",18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",298,"R",103,"R",14,"R",8,"R",331,"R",129
100636,"11.0101",3,"Z",0,"Z",0,"R",4,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",106,"R",7,"R",6,"R",1,"R",116,"R",10
100636,"13.9999",3,"Z",0,"Z",0,"R",90,"R",34,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",701,"R",113,"R",32,"R",3,"R",826,"R",150
100636,"15.0303",3,"Z",0,"Z",0,"R",83,"R",7,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",727,"R",88,"R",46,"R",7,"R",860,"R",102
100636,"15.0401",3,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",6,"R",1,"Z",0,"R",27,"R",6
100636,"15.0599",3,"Z",0,"Z",0,"R",27,"R",2,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",157,"R",17,"R",9,"R",1,"R",195,"R",21
100636,"15.0611",3,"Z",0,"Z",0,"R",2,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",31,"R",9,"R",4,"R",1,"R",37,"R",13
100636,"15.0699",3,"Z",0,"Z",0,"R",14,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",45,"R",18,"R",7,"R",1,"R",66,"R",27
100636,"15.0701",3,"Z",0,"Z",0,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",2,"Z",0,"R",1,"R",28,"R",3
100636,"15.1001",3,"Z",0,"Z",0,"R",16,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",85,"R",12,"R",5,"Z",0,"R",106,"R",15
100636,"20.0399",3,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",4,"R",2,"Z",0,"R",16,"R",6
100636,"22.0103",3,"Z",0,"Z",0,"R",6,"R",12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",33,"R",1,"R",2,"R",25,"R",47
100636,"29.0101",3,"Z",0,"Z",0,"R",65,"R",7,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",495,"R",53,"R",19,"Z",0,"R",580,"R",61
100636,"31.9999",3,"Z",0,"Z",0,"R",16,"R",9,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",32,"R",20,"R",3,"R",4,"R",51,"R",34
100636,"40.0401",3,"Z",0,"Z",0,"R",7,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",61,"R",13,"R",3,"R",2,"R",71,"R",21
100636,"41.9999",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",1,"R",1,"Z",0,"R",20,"R",1
100636,"43.0104",3,"Z",0,"Z",0,"R",101,"R",12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",390,"R",44,"R",22,"R",5,"R",513,"R",61
100636,"43.0109",3,"Z",0,"Z",0,"R",22,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",73,"R",9,"R",7,"R",4,"R",102,"R",14
100636,"43.0203",3,"Z",0,"Z",0,"R",13,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",111,"R",2,"R",3,"Z",0,"R",127,"R",3
100636,"44.0701",3,"Z",0,"Z",0,"R",10,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",4,"Z",0,"Z",0,"R",24,"R",11
100636,"45.0899",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"Z",0
100636,"47.0402",3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",6,"Z",0
100636,"47.0607",3,"Z",0,"Z",0,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",46,"R",7,"R",2,"Z",0,"R",57,"R",7
100636,"47.0608",3,"Z",0,"Z",0,"R",116,"R",6,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",964,"R",58,"R",56,"R",1,"R",1139,"R",65
100636,"47.0609",3,"Z",0,"Z",0,"R",53,"R",4,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",518,"R",58,"R",34,"Z",0,"R",606,"R",62
100636,"47.0699",3,"Z",0,"Z",0,"R",23,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",174,"R",19,"R",7,"R",3,"R",204,"R",24
