unitid,majornum,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace13,crace14,crace15,crace16
100663,1,"26.0000",7,2,5,0,1,0,0,1,0,0,0,3,10,0,0,6,16
100706,1,"38.0000",5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0
100751,1,"23.0000",5,0,0,1,6,0,0,1,0,0,0,25,55,0,0,27,61
100760,1,"99.0000",2,0,0,0,29,0,0,0,0,0,0,17,34,0,0,17,63
100858,1,"19.0000",5,0,0,2,12,0,1,0,0,0,0,7,174,0,0,9,187
100937,1,"26.0000",5,0,1,0,0,0,0,1,1,1,0,21,9,0,0,23,11
101143,1,"31.0000",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
101480,1,"24.0000",5,0,0,1,2,0,0,0,1,1,5,0,0,0,0,2,8
101514,1,"01.0000",1,0,0,4,0,0,0,0,0,0,0,14,0,0,0,18,0
101569,1,"10.0000",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
101693,1,"16.0000",5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
101736,1,"51.0000",2,0,0,0,4,0,0,0,0,0,0,0,20,0,1,0,25
101912,1,"52.0000",5,2,1,11,23,0,0,0,0,0,1,3,3,0,4,16,32
102261,1,"99.0000",5,4,0,1,1,0,0,0,0,0,0,11,11,0,0,16,12
102359,1,"52.0000",7,0,0,13,29,1,0,0,0,0,0,35,21,1,0,50,50
102377,1,"46.0000",5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
102553,1,"49.0000",3,1,0,0,0,0,0,0,0,0,0,12,2,2,2,15,4
102614,1,"52.0000",7,1,1,0,0,0,0,0,1,0,1,4,9,0,0,5,12
103361,1,"99.0000",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
101301,1,"46.0000",2,0,0,10,0,0,0,0,0,0,0,6,0,0,0,16,0
101462,1,"12.0000",2,0,0,1,7,0,0,0,0,0,0,0,1,0,0,1,8
104179,1,"42.0000",9,0,0,0,0,0,0,0,1,1,0,3,6,0,0,4,7
104391,1,"12.0000",2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
104577,1,"12.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104717,1,"51.0000",5,0,1,0,1,0,1,0,2,0,0,8,49,0,1,8,55
105154,1,"25.0000",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101994,1,"52.0000",2,0,0,0,2,0,0,0,0,0,0,2,4,0,0,2,6
102067,1,"12.0000",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
102094,1,"51.0000",9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2
105589,1,"03.0000",7,0,0,1,0,0,0,0,0,1,0,1,1,0,0,3,1
105747,1,"52.0000",1,1,0,0,0,0,1,0,0,0,0,2,4,0,0,3,5
106245,1,"09.0000",7,0,0,2,1,0,0,0,0,0,0,3,9,0,0,5,10
106306,1,"52.0000",5,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,3
106397,1,"42.0000",5,0,3,0,2,0,0,1,3,0,0,14,47,0,0,15,55
103644,1,"11.0000",2,0,0,0,0,0,1,0,0,0,0,7,1,0,0,7,2
104151,1,"16.0000",5,2,3,1,3,1,1,1,5,9,28,36,52,0,1,50,93
104160,1,"51.0000",4,0,0,0,0,1,0,0,0,5,2,11,4,0,0,17,6
106759,1,"12.0000",2,0,0,3,15,0,0,0,0,0,0,0,6,0,0,3,21
106935,1,"99.0000",2,0,1,2,6,0,0,0,0,0,0,68,72,0,0,70,79
107044,1,"51.0000",5,0,0,0,2,0,0,0,1,0,0,18,53,0,0,18,56
107141,1,"50.0000",5,1,2,0,0,0,0,0,0,0,0,13,5,0,0,14,7
107460,1,"47.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105330,1,"24.0000",5,1,0,5,4,7,18,3,5,10,20,72,128,3,0,101,175
105367,1,"44.0000",5,0,0,1,0,0,0,0,0,2,0,7,2,3,2,13,4
105367,1,"45.0000",5,0,0,1,0,0,0,0,0,1,3,10,15,1,2,13,20
105367,1,"50.0000",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105367,1,"51.0000",5,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,6
105367,1,"52.0000",5,0,0,2,3,1,0,0,0,4,3,21,31,10,9,38,46
105367,1,"52.0000",7,0,0,0,0,0,0,0,1,0,1,7,13,0,3,7,18
105367,1,"52.0000",8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
105367,1,"99.0000",5,0,0,5,4,3,4,1,1,10,24,60,167,24,49,103,249
105367,1,"99.0000",7,0,0,1,3,0,2,0,2,3,5,19,66,1,8,24,86
105367,1,"99.0000",8,0,0,1,2,0,3,0,2,0,5,11,32,1,4,13,48
105419,1,"12.0000",1,0,0,0,1,0,0,1,1,0,4,0,16,0,1,1,23
105419,1,"12.0000",2,0,0,0,2,0,0,0,2,2,9,3,32,0,0,5,45
105419,1,"99.0000",1,0,0,0,1,0,0,1,1,0,4,0,16,0,1,1,23
105419,1,"99.0000",2,0,0,0,2,0,0,0,2,2,9,3,32,0,0,5,45
105428,1,"04.0000",3,0,0,0,0,0,0,0,0,0,3,1,5,0,2,1,10
105428,1,"08.0000",1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
105428,1,"08.0000",2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4
105428,1,"08.0000",3,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,5
105428,1,"11.0000",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2
105428,1,"13.0000",3,0,0,0,2,0,1,0,0,2,9,0,3,0,0,2,15
105428,1,"15.0000",3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
105428,1,"19.0000",1,0,0,2,18,0,18,0,8,0,21,9,51,17,46,28,162
105428,1,"19.0000",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
105428,1,"20.0000",1,0,0,0,0,0,1,0,0,1,1,1,3,0,1,2,6
105428,1,"20.0000",2,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,9
105428,1,"20.0000",3,0,1,0,1,0,3,0,1,1,3,1,13,0,1,2,23
105428,1,"22.0000",1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
105428,1,"22.0000",2,0,0,1,0,0,0,0,0,0,4,3,15,0,4,4,23
105428,1,"22.0000",3,0,0,1,4,0,1,0,0,1,5,4,34,1,4,7,48
105428,1,"23.0000",1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,4,0
105428,1,"24.0000",3,1,0,14,23,5,8,5,6,28,48,59,75,15,29,127,189
105428,1,"30.0000",3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3
105428,1,"31.0000",3,0,0,0,1,0,0,0,0,0,1,1,3,0,0,1,5
105428,1,"40.0000",3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1
105428,1,"42.0000",3,0,0,0,1,0,0,0,0,1,2,2,4,0,0,3,7
105428,1,"43.0000",1,0,0,0,1,2,4,1,0,11,15,7,24,4,6,25,50
105428,1,"43.0000",2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0
105428,1,"43.0000",3,0,0,1,0,0,1,2,0,11,11,15,9,2,5,31,26
105428,1,"44.0000",3,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,5
105330,1,"24.0000",7,0,0,0,0,0,1,0,0,0,0,2,7,0,0,2,8
105330,1,"26.0000",5,0,0,0,0,5,1,1,1,4,4,33,71,1,0,44,77
105330,1,"26.0000",7,0,0,0,0,0,0,0,1,0,1,12,6,0,0,12,8
105330,1,"26.0000",9,1,0,0,0,0,0,0,0,0,0,2,3,0,0,3,3
105330,1,"27.0000",5,0,0,0,0,0,0,0,0,1,0,3,7,0,0,4,7
105330,1,"27.0000",7,1,1,0,1,0,0,0,0,0,0,4,2,0,0,5,4
105330,1,"30.0000",5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
105330,1,"30.0000",7,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0
105330,1,"31.0000",5,1,1,0,0,1,3,2,1,2,2,35,55,1,0,42,62
105330,1,"38.0000",5,0,0,0,0,0,0,0,0,0,0,15,3,0,0,15,3
105330,1,"40.0000",5,0,0,0,0,0,1,1,0,1,1,34,30,0,0,36,32
105330,1,"40.0000",7,1,0,0,0,2,0,1,0,0,0,10,3,0,0,14,3
105330,1,"42.0000",5,0,1,0,1,4,4,0,0,4,9,22,84,0,0,30,99
105330,1,"42.0000",7,0,2,0,0,0,0,0,0,0,0,6,14,0,0,6,16
105330,1,"43.0000",5,0,0,2,1,6,7,3,1,9,21,49,49,1,1,70,80
105330,1,"43.0000",7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105330,1,"44.0000",5,0,2,0,0,2,12,0,1,0,0,11,22,0,0,13,37
105330,1,"44.0000",7,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,1
105330,1,"45.0000",5,0,0,0,0,1,5,1,1,3,4,63,67,0,0,68,77
105330,1,"45.0000",7,1,1,0,1,1,0,0,0,2,0,14,21,0,0,18,23
105330,1,"45.0000",9,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1
105330,1,"50.0000",5,1,4,1,2,7,1,2,0,2,6,56,81,1,0,70,94
105330,1,"50.0000",7,1,0,0,0,0,0,0,0,0,0,4,5,0,0,5,5
105330,1,"51.0000",5,0,0,0,1,0,8,0,2,2,12,11,67,0,1,13,91
105330,1,"51.0000",7,0,1,0,0,0,1,0,0,1,3,2,70,0,0,3,75
105330,1,"51.0000",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105330,1,"52.0000",5,8,9,6,2,9,9,7,6,21,26,221,172,0,1,272,225
105330,1,"52.0000",7,6,3,0,1,3,2,1,0,2,1,24,8,0,0,36,15
105330,1,"99.0000",5,13,18,14,15,66,127,26,25,90,184,903,1414,11,6,1123,1789
105330,1,"99.0000",7,16,10,21,31,18,66,10,13,63,118,482,1050,4,9,614,1297
105330,1,"99.0000",9,5,1,0,0,0,1,0,0,1,3,11,20,0,0,17,25
105349,1,"01.0000",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105349,1,"01.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105349,1,"10.0000",3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
105349,1,"11.0000",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105349,1,"11.0000",3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5
105349,1,"12.0000",1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,4
105349,1,"12.0000",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105349,1,"12.0000",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105349,1,"13.0000",2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
105349,1,"13.0000",3,0,0,0,0,0,5,0,0,0,1,0,4,0,0,0,10
105349,1,"15.0000",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105349,1,"15.0000",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105349,1,"15.0000",3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
105349,1,"20.0000",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
105349,1,"20.0000",3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,4
